draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y0.1,y0.2,y0.3,y0.4,y0.5,y0.6,y0.7,y0.8,y0.9,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,-6124.366103411574,0.9953375113893251,0.0003503690592530869,10.0,1023.0,0.0,6134.447237908901,9997.395350529747,85.6612051219387,55301.400426601744,10043.62388615204,1.1291244909412947,8502.261298971767,2445.10740581833,1237.7417604449238,360.4084493199619,4.156486581522329,1556.8400867046632,3243.8761403136796,10.864050696729565,2945.570029251643,226.99115816293354,825.488736403019,971.5294857534581,964.4446788854614,0.6493364530803694,0.8145308141045728,3.206655217447522,9.805202120285903e-07,0.11470834132189801,0.11524834346884717,0.3572471149889133,0.0982881467980865,0.36833966216996744,0.9472616559665977,0.17457242331886444,13.087655027852039,0.826566145388931,0.001040613663434578,0.27647628045535927,0.11669290958677003
1,-7267.076050421129,0.9836871003449187,3.9714828237595904e-05,10.0,1023.0,0.0,7289.563887726817,10062.894251998243,9999.19813727329,5.7560288909326465,30410.02246412947,9893.831577869089,9992.16428070662,1460.3198508163373,803.9512636851613,1.3061662645739471,83.75801619056278,1.7383882276647102,9563.561259084165,5324.695057752499,30.551847949134853,1.3225102416589498,677.6914254676788,843.9151434179364,1016.7055351576373,0.600617685166034,0.870287347899258,5.199629609665186,9.954757320664026e-07,0.09635230024809543,0.09487930784395708,0.2696595260619173,0.10042291681083558,0.17186592405226941,1.0301837889397707,0.014198752504876427,13.724470352334322,0.9543376096499219,0.0007284272316565677,0.4080300600401108,0.1769208286231827
2,-6328.628076888771,0.9794481721746848,1.721425708678461e-05,10.0,1023.0,0.0,6342.664722587175,10001.591364045515,10000.12828582266,59901.903644810904,16.19646835252826,1.1059288935904614,0.9332559756407189,0.3071684518807426,12.244165943367813,1.9444764232005325,0.5790337485048668,0.10318663654468246,3134.3640913112254,1060.8853628421455,4360.075540189744,3679.3516384437435,1840.073341140366,1828.686312712693,1256.7280508317053,0.6000064713813573,0.874904432297663,3.50458697217584,9.999147528508978e-07,0.08384767182979809,0.10617026613472505,0.45943624294908075,0.10001295565504764,0.34961586173442666,1.0506945467664104,0.004630684218254821,13.527513603650736,0.6877525953865077,0.0010543179614973482,0.3167949035492029,0.6693950468016024
3,-6524.4708048644725,0.9996991254314963,0.00041953206921697646,10.0,1023.0,0.0,6536.02152745052,1.7412123749663602,29.584098683368826,48774.647504310655,10471.115783050265,9999.574659059737,2.2555720473522265,4093.7302982081083,506.34602679061,505.40277319233076,1101.7207985928262,1290.4067462372395,3044.192078218949,1494.4651216944344,0.12866882357632797,3749.7236263609184,1211.9663994921145,1008.9314062439879,978.3837578398784,0.6720293652131498,1.0282865475048726,3.431806220694957,9.876267990923113e-07,0.12537711269737709,0.12802427500295574,0.3885961519318093,0.09776563199639342,0.10869079743364272,0.8601157526461339,0.03001269200643163,10.228164532609096,0.893934495989954,0.0011775664139685497,0.17038275531648658,0.06106266148242522
4,-6120.994696709579,0.9871664548363782,0.0003503690592530869,10.0,1023.0,0.0,6145.86292401443,10007.181374996506,87.71605218865783,55200.366365828224,10051.238081059424,1.2259704006698242,8518.094184891783,2496.7101944946903,1250.9072826122087,360.8970588806661,3.8218900052965044,1552.8357501592948,3248.025020521978,11.007030820055462,2940.9582975755316,228.94521248285716,801.0129406840533,959.93026316735,948.1562067331199,0.6482559297756249,0.8158284519980188,3.21134723425815,9.80618785225472e-07,0.11414744359734613,0.11584801597559878,0.35876166503003903,0.0982054729459918,0.36986973131572,0.9475395077138363,0.17635901969249565,13.124896073394305,0.8328314061033334,0.0010422555148696282,0.2720670191790301,0.11644784935052321
5,-7268.209059396272,0.8457980603287462,3.9714828237595904e-05,10.0,1023.0,0.0,7291.294344070144,10051.67802068008,9999.322164126294,5.744898779910789,30392.773991074908,9896.309437766338,9992.72206513977,1461.5230087679784,800.1649959977046,1.3040041795293116,84.39977550667936,1.7253432680275644,9564.618848088057,5325.218838848773,29.9470313877402,1.329768649435297,677.5827853343313,843.987634649954,1016.6245219114362,0.6006440262367496,0.8705969394354754,5.202122982217411,9.957192859644885e-07,0.09639690236811342,0.09485075907273252,0.2693859310625112,0.10034700971637626,0.17194275476094395,1.030293671018533,0.014111173905309363,13.71939835621291,0.9539914809720618,0.0007275044395592844,0.4079355047434509,0.17687140905950186
6,-6327.46312658937,0.9999691539923266,1.721425708678461e-05,10.0,1023.0,0.0,6342.11193848744,10001.704204146543,9999.937238339846,59900.19329867742,16.195932428020765,1.105855533491096,0.9332611457509905,0.30716609920962135,12.244432417702118,1.944445295773601,0.5794006625317953,0.10301705571860746,3134.3217362443484,1060.8731605222629,4359.951440012373,3679.3718076002756,1840.0461090729666,1828.7252445055608,1256.7705132455337,0.6000087841114188,0.8748988446910118,3.5046834339550332,9.999237773963129e-07,0.08384761835168333,0.10617126112282171,0.4594446962873406,0.10001577486948407,0.34961169319424273,1.0507261536597061,0.004630775719986693,13.527755491192273,0.6877553119601598,0.0010542632360563723,0.31680678483329916,0.6693801083225971
7,-6531.47499101966,0.6260146209760322,0.00041953206921697646,10.0,1023.0,0.0,6558.70311194217,1.7465658937549617,29.24340051263441,48648.60261796891,10495.430470068191,9999.431430874805,2.242194776710193,4136.675064139356,516.3756713257372,506.03612822955915,1104.1303350560404,1284.6512490291923,3042.4811065587,1498.401664866743,0.1301487967115109,3748.0774036802463,1212.3444132858021,1000.1071458803953,975.7884425118094,0.6703636395030543,1.0289930981598343,3.436235669836936,9.890361365331094e-07,0.12535972730521197,0.12800655853253917,0.39305416092706713,0.09764694747973696,0.10855429051499019,0.867807357816505,0.029828437456148833,10.237942982862858,0.8927541580090493,0.001180118779843458,0.167583348526111,0.06043594433223167
8,-6118.0402362721725,0.9413404717701779,0.0003503690592530869,10.0,1023.0,0.0,6138.69835941871,9992.105502578417,84.86487516467322,55249.794768444306,10050.803193466807,1.2332349642522364,8492.53307452605,2466.0478718154336,1255.5230973252064,347.88916127875024,3.8136553909576616,1563.7146599452158,3260.4792395911754,11.123630654585902,2952.146607335504,231.3698066808915,809.3128063865013,948.848104976547,951.3810332169797,0.6490744853575446,0.8154337084554307,3.209420167953488,9.816701015966467e-07,0.11359169400803285,0.1154655909650923,0.35977734498571057,0.09810264391697648,0.3694105867036329,0.9453010027941131,0.1764631125384511,13.071703043069997,0.84610373400863,0.0010408318726312002,0.2712913824812323,0.1163027029915808
9,-7267.101779003929,0.995388634461645,3.9714828237595904e-05,10.0,1023.0,0.0,7290.594051173007,10055.80972538022,10000.535407462277,5.745651768157324,30386.5553295073,9897.620086439165,9994.302126213435,1459.1753727595562,798.2416612746387,1.3193099290869452,83.97733562777918,1.6942785587554325,9564.743292053869,5335.448636330646,30.155848334275525,1.311654032240531,679.0331184175964,844.0318396002665,1016.7438235148679,0.6007506190093848,0.8703407102326794,5.201415080933689,9.955220164071288e-07,0.0964310429266503,0.09488287604200846,0.2691032899144357,0.10029385656010417,0.17194485283488226,1.030153455412349,0.014070201574544914,13.715732022315965,0.954149092931705,0.0007270273281054642,0.40799164474620275,0.1768958863940748
10,-6326.04774187939,0.9438240725409145,1.721425708678461e-05,10.0,1023.0,0.0,6339.555977640159,10001.410346740066,10000.134641246428,59898.400230994994,16.19570468047792,1.1058992695242045,0.9332841417240075,0.3071669768985956,12.244314017532366,1.944295426217349,0.5791676145298816,0.10294829777160902,3134.362952025173,1060.9632966635031,4359.845187783629,3679.442734787044,1840.0430281966442,1828.7408995108644,1256.7272026944208,0.6000077837651935,0.8748972942422264,3.504777734212185,9.999326255344223e-07,0.08384611463445937,0.10617035242897817,0.4594307657674225,0.1000143026114577,0.34958770929757194,1.0507191546591321,0.004630765152923313,13.5281110488984,0.6877608643987615,0.001054259700786698,0.3168004183408611,0.6693730767367448
11,-6525.721272672214,0.9992114442327052,0.00041953206921697646,10.0,1023.0,0.0,6545.69780219822,1.751247223737102,29.71092622145343,48643.51272587496,10500.576274242945,9999.515376274929,2.2414290505416297,4145.786310235017,518.686202050146,509.13352360913245,1105.0325938932617,1284.7305860805477,3042.71616547662,1497.7209203459427,0.13055406840131226,3742.71150686356,1214.6232068728004,1004.0280171586493,975.9457758262608,0.6710742605748099,1.028625749715237,3.434756917308346,9.891905380286064e-07,0.12529011257085312,0.12796833961213477,0.39314231348753004,0.0977007229753263,0.10851604924748584,0.8696666668773531,0.02985799865398194,10.22486853662182,0.8934228030945874,0.0011817708533831608,0.1674002993942174,0.06036478277704439
12,-6116.495705278821,0.9994041066091084,0.0003503690592530869,10.0,1023.0,0.0,6134.308213834109,9994.313790727272,83.68031424697837,55209.955267067526,10048.149304295672,1.2246696542968962,8495.403274279937,2465.1837565300534,1250.0798761879162,348.85321882186133,3.7085360149536846,1563.006216918216,3261.248550955856,10.998291864934304,2952.9024688209006,231.0655371429975,805.8482560009809,949.8106935328595,947.9938701694443,0.6492371066088815,0.8156391567890163,3.211847209559811,9.811779343019537e-07,0.11342178473416163,0.11539762459354311,0.35960373392749906,0.09800385480076759,0.3695927321321672,0.9462295122406055,0.17626429694951157,13.080217332648159,0.846887809785362,0.001042462366494157,0.2713089587433032,0.1159596672593385
13,-7270.230446422849,0.5868273470608844,3.9714828237595904e-05,10.0,1023.0,0.0,7283.77955652346,10065.975849310013,10000.7651082272,5.755349148722314,30379.13790875269,9896.381257522458,9994.078726623771,1457.7681546851911,798.0929551187073,1.3193869826444582,83.35013041023171,1.6871701884364596,9566.369145779783,5335.6831359641155,30.233522647525078,1.3304049156232547,678.8066165304089,843.9495030303636,1016.6953768135578,0.6007632207405965,0.8700323247277331,5.201607701402713,9.955801876273607e-07,0.09642174987920578,0.09488615235406919,0.26912526234199435,0.10031914330053048,0.1719190421255984,1.0304793333865827,0.013966076998034989,13.7146636742958,0.9547297139066883,0.0007275038654551639,0.40822752474866886,0.1768973574816186
14,-6326.440033939718,0.9800229746938479,1.721425708678461e-05,10.0,1023.0,0.0,6344.380272262572,10001.495019901673,10000.092590483799,59898.76078946503,16.195600554589234,1.105902503219697,0.9332772062790674,0.3071630778119263,12.244321127983515,1.9442899608956319,0.5795135169138677,0.10291254038581713,3134.353725516754,1060.9759850054943,4359.821389203841,3679.4388390569807,1840.0339290603365,1828.7361785549433,1256.72673593889,0.6000069192348864,0.8749057658116549,3.5047743468897377,9.99929554852279e-07,0.08384606794934847,0.1061703055721612,0.45943183513452246,0.10001411331555198,0.34959117220146685,1.0507215134928312,0.004630856852748458,13.5281094439846,0.6877604493387367,0.0010542655804473245,0.31680236797530315,0.6693637049951988
15,-6524.704017388291,0.9998797851948151,0.00041953206921697646,10.0,1023.0,0.0,6537.736443161926,1.7438535339175403,29.82219742020786,48678.20139383757,10492.87098596412,9999.385816010492,2.268250671733422,4110.399168020828,515.6923899896556,506.8418459914275,1103.1819774161029,1286.6733701238786,3047.030139539713,1495.5034750825835,0.12830020239079806,3739.8717994817625,1216.391507529016,999.2885323209306,976.085527080323,0.6710902645764628,1.029354446032943,3.43445419113243,9.894778886640108e-07,0.12532584411196335,0.12799606528265353,0.3939807502060369,0.09778993153846305,0.10840938144800404,0.8697973353606759,0.029975803433174474,10.209126858526725,0.8911553282102759,0.0011816650081722467,0.16688428612913628,0.06029169142711239
16,-6120.215712652993,0.9570879643759227,0.0003503690592530869,10.0,1023.0,0.0,6138.019705764657,10005.275550696471,77.11671374493143,55258.07369360867,10045.026778153939,1.1539410946673112,8485.496566621681,2419.491854838832,1249.9476835259206,337.53000286404887,3.9126095309979303,1563.0593663134675,3266.225995499257,11.010345412951795,2955.195981427285,230.71248368414447,795.9761935589174,935.427098177899,965.0735136286944,0.6496489499849233,0.8145393578572119,3.209007051034696,9.834711575965588e-07,0.1133474296561958,0.11580407428975835,0.3607207919444007,0.09820228322195097,0.370782946506482,0.9448724702137375,0.17619727358987441,13.169809357739648,0.8579870660282903,0.0010430157473354871,0.2707486116820193,0.11615923297328702
17,-7264.343099711416,0.9961383856763865,3.9714828237595904e-05,10.0,1023.0,0.0,7286.839333329817,10024.173502998032,10000.490526869344,5.7451527824196535,30397.98416682555,9892.60570287028,9993.644675823534,1457.6849499050793,800.889986624071,1.3098736419117318,83.5788319979014,1.64596975188164,9565.932897584897,5339.6693303093425,29.958774065416943,1.304025562380709,678.1047677802296,843.8618244301138,1016.6068820194189,0.6006820459067439,0.8713366261599221,5.203614283464427,9.95385341723327e-07,0.09643654391050999,0.0948799863702345,0.2689910012866177,0.10021907291540642,0.17194008093794708,1.030414213588911,0.014059680032410156,13.707943535813548,0.9544423413057754,0.0007287577007847992,0.40853930075082495,0.17692951822434563
